pair_idx,frame0,frame1,AEPE,1px,3px,5px,H,W
40,Image0226.png,Image0227.png,15.116511344909668,0.006772248641304348,0.016668789628623188,0.026087664175724636,1472,768
41,Image0227.png,Image0228.png,15.00386905670166,0.006988083106884058,0.016849241394927536,0.024102694746376812,1472,768
42,Image0228.png,Image0229.png,15.094160079956055,0.007426828577898551,0.019902768342391304,0.030984629755434784,1472,768
43,Image0229.png,Image0230.png,15.071791648864746,0.005243716032608696,0.021056244338768116,0.03419737884963768,1472,768
44,Image0230.png,Image0231.png,14.880035400390625,0.00042813066123188406,0.024736045063405796,0.08758279551630435,1472,768
45,Image0231.png,Image0232.png,14.934905052185059,0.000396286231884058,0.024909420289855072,0.5507104846014492,1472,768
46,Image0232.png,Image0233.png,14.280814170837402,0.0003785948822463768,0.03158259737318841,0.5947194859601449,1472,768
47,Image0233.png,Image0234.png,11.314380645751953,0.0,0.034604279891304345,0.6360040194746377,1472,768
48,Image0234.png,Image0235.png,9.410455703735352,0.0,0.03749504642210145,0.6733150758605072,1472,768
49,Image0235.png,Image0236.png,8.21379280090332,0.0,0.025058027626811596,0.7078945878623188,1472,768
50,Image0236.png,Image0237.png,7.2278618812561035,5.661231884057971e-05,0.020047837409420288,0.7442821557971014,1472,768
51,Image0237.png,Image0238.png,6.329032897949219,0.00024060235507246378,0.11577926856884058,0.7776232733242754,1472,768
52,Image0238.png,Image0239.png,5.468422889709473,0.000198143115942029,0.4860026041666667,0.7927989130434783,1472,768
53,Image0239.png,Image0240.png,4.590579986572266,0.00015922214673913044,0.617477638134058,0.8164416326992754,1472,768
54,Image0240.png,Image0241.png,3.903599739074707,0.0001309159873188406,0.8102531985960145,0.8327282891757246,1472,768
55,Image0241.png,Image0242.png,3.4756476879119873,0.00011322463768115942,0.831192680027174,0.835831351902174,1472,768
56,Image0242.png,Image0243.png,3.3339736461639404,0.0,0.8399109771286232,0.8455474411231884,1472,768
57,Image0243.png,Image0244.png,3.150574207305908,0.0,0.8457208163496377,0.8572343466938406,1472,768
58,Image0244.png,Image0245.png,3.0263683795928955,3.538269927536232e-06,0.85107421875,0.8540994395380435,1472,768
59,Image0245.png,Image0246.png,2.947627067565918,3.538269927536232e-06,0.8563957767210145,0.8590353260869565,1472,768
60,Image0246.png,Image0247.png,2.891460657119751,0.0,0.860397560009058,0.8634121659873188,1472,768
61,Image0247.png,Image0248.png,2.82462739944458,5.661231884057971e-05,0.8652379132699275,0.8669079766757246,1472,768
62,Image0248.png,Image0249.png,2.7428970336914062,3.538269927536232e-06,0.8704285552536232,0.8713980412137681,1472,768
